AnimalID,SireID,DamID
PVBPC19G010144A,PVHTC18G0006031M,PVHTC18G000R029
PVBPC19G010146A,PVHTC18G0006060M,PVHTC18G000A361
PVBPC19G010156A,PVHTC18G0006012M,PVHTC18G000B052
PVBPC19G010184A,PVHTC18G0006079M,PVHTC18G000R079
PVBPC19G010268A,PVHTC18G0006125M,PVHTC18G000R155
PVBPC19G010283A,PVHTC18G0006030M,PVHTC18G000A265
PVBPC19G010304A,PVHTC18G0006037M,PVHTC18G000A172
PVBPC19G010309A,PVHTC18G0006013M,PVHTC18G000A229
PVBPC19G010338A,PVHTC18G0006141M,PVHTC18G000R173
PVBPC19G010427A,PVHTC18G0006032M,PVHTC18G000A237
PVBPC19G010589A,PVHTC18G0006133M,PVHTC18G000B281
PVBPC19G010600A,PVHTC18G0006013M,PVHTC18G000B060
PVBPC19G010600AM,PVHTC18G0006051M,PVHTC18G000B119
PVBPC19G010600BM,PVHTC18G0006043M,PVHTC18G000R100
PVBPC19G010600CM,PVHTC18G0006031M,PVHTC18G000A176
PVBPC19G010600FM,PVHTC18G0006061M,PVHTC18G000B205
PVBPC19G010600GM,PVHTC18G0006030M,PVHTC18G000A265
PVBPC19G0106052M,PVHTC18G0006007M,PVHTC18G000A117
PVBPC19G0106119M,PVHTC18G0006010M,PVHTC18G000R056
PVBPC19G0106140M,PVHTC18G0006031M,PVHTC18G000R029
PVBPC19G0106159M,PVHTC18G0006142M,PVHTC18G000B050
PVBPC19G0106245M,PVHTC18G0006039M,PVHTC18G000A104
PVBPC19G0106253M,PVHTC18G0006141M,PVHTC18G000R006
PVBPC19G0106374M,PVHTC18G0006013M,PVHTC18G000B060
PVBPC19G0106450M,PVHTC18G0006051M,PVHTC18G000R093
PVBPC19G0106451M,PVHTC18G0006089M,PVHTC18G000R298
PVBPC19G0106464M,PVHTC18G0006051M,PVHTC18G000R098
PVBPC19G0106475M,PVHTC18G0006007M,PVHTC18G000R238
PVBPC19G0106491M,PVHTC18G0006024M,PVHTC18G000B074
